locus_tag	ftype	length_bp	gene	EC_number	COG	product
OADMKDBD_00086	CDS	1062	gtfA	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
OADMKDBD_00087	CDS	1443	pyk	2.7.1.40		Pyruvate kinase
OADMKDBD_00088	CDS	1347	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
OADMKDBD_00089	CDS	630	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
OADMKDBD_00090	CDS	291				hypothetical protein
OADMKDBD_00091	CDS	999				hypothetical protein
OADMKDBD_00092	CDS	579				hypothetical protein
OADMKDBD_00093	CDS	285	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
OADMKDBD_00094	CDS	564				hypothetical protein
OADMKDBD_00095	CDS	1203		2.7.2.4	COG0527	Aspartate kinase
OADMKDBD_00096	CDS	537				hypothetical protein
OADMKDBD_00097	CDS	600				hypothetical protein
OADMKDBD_00098	CDS	1143	folP		COG0294	Bifunctional dihydropteroate synthase/dihydropteroate reductase
OADMKDBD_00099	CDS	1944	ligA_1	6.5.1.2	COG0272	DNA ligase
OADMKDBD_00100	CDS	984				hypothetical protein
OADMKDBD_00101	CDS	762	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
OADMKDBD_00102	CDS	855	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
OADMKDBD_00103	CDS	708	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
OADMKDBD_00104	CDS	216				hypothetical protein
OADMKDBD_00105	CDS	435				hypothetical protein
OADMKDBD_00106	CDS	633				hypothetical protein
OADMKDBD_00107	CDS	651				hypothetical protein
OADMKDBD_00108	CDS	627	nth_1	4.2.99.18	COG0177	Endonuclease III
OADMKDBD_00109	CDS	822	cbf2	5.2.1.8	COG0760	Putative peptidyl-prolyl cis-trans isomerase Cbf2
OADMKDBD_00110	CDS	1065	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
OADMKDBD_00111	CDS	1443				hypothetical protein
OADMKDBD_00112	CDS	954	pal_1			Peptidoglycan-associated lipoprotein
OADMKDBD_00113	CDS	876				hypothetical protein
OADMKDBD_00114	CDS	1344				hypothetical protein
OADMKDBD_00115	CDS	669	yiiM		COG2258	Protein YiiM
OADMKDBD_00116	CDS	1359	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
OADMKDBD_00117	CDS	2463				hypothetical protein
OADMKDBD_00118	CDS	636				hypothetical protein
OADMKDBD_00119	CDS	999				hypothetical protein
OADMKDBD_00120	CDS	714	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
OADMKDBD_00121	CDS	3153				hypothetical protein
OADMKDBD_00122	CDS	636	pyrC_1	3.5.2.3	COG0418	Dihydroorotase
OADMKDBD_00123	CDS	663	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
OADMKDBD_00124	CDS	906				hypothetical protein
OADMKDBD_00125	CDS	708	legF_1	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
OADMKDBD_00126	CDS	771		1.1.1.390		Sulfoquinovose 1-dehydrogenase
OADMKDBD_00127	CDS	1881				hypothetical protein
OADMKDBD_00128	CDS	786				hypothetical protein
OADMKDBD_00129	CDS	273				hypothetical protein
OADMKDBD_00130	CDS	525				hypothetical protein
OADMKDBD_00131	CDS	1008	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
OADMKDBD_00132	CDS	516				hypothetical protein
OADMKDBD_00133	CDS	1242				hypothetical protein
OADMKDBD_00134	CDS	312	tupB		COG4662	Tungstate uptake system permease protein TupB
OADMKDBD_00135	CDS	636	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
OADMKDBD_00136	CDS	768	fliR		COG1684	Flagellar biosynthetic protein FliR
OADMKDBD_00137	CDS	207				hypothetical protein
OADMKDBD_00138	CDS	1974	acs	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
OADMKDBD_00139	CDS	519	tupC	7.3.2.6	COG3839	Tungstate uptake system ATP-binding protein TupC
OADMKDBD_00140	CDS	93				hypothetical protein
OADMKDBD_00141	tRNA	77				tRNA-Asp(gtc)
OADMKDBD_00142	tRNA	76				tRNA-Val(tac)
OADMKDBD_00143	tRNA	76				tRNA-Val(tac)
OADMKDBD_00144	tRNA	76				tRNA-Glu(ctc)
OADMKDBD_00145	tRNA	76				tRNA-Lys(ttt)
OADMKDBD_00146	tRNA	77				tRNA-Asp(gtc)
OADMKDBD_00147	CDS	102				hypothetical protein
OADMKDBD_00148	CDS	834				hypothetical protein
OADMKDBD_00149	CDS	216	fliP		COG1338	Flagellar biosynthetic protein FliP
OADMKDBD_00150	CDS	771	fliY		COG0834	L-cystine-binding protein FliY
OADMKDBD_00151	CDS	963				hypothetical protein
OADMKDBD_00152	CDS	162				hypothetical protein
OADMKDBD_00153	CDS	123				hypothetical protein
OADMKDBD_00154	CDS	162				hypothetical protein
OADMKDBD_00155	CDS	138				hypothetical protein
OADMKDBD_00156	CDS	312	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
OADMKDBD_00157	CDS	1107	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
OADMKDBD_00158	CDS	867			COG2990	putative protein
OADMKDBD_00159	CDS	378	rpsF		COG0360	30S ribosomal protein S6
OADMKDBD_00160	CDS	549	ssb		COG0629	Single-stranded DNA-binding protein
OADMKDBD_00161	CDS	261	rpsR		COG0238	30S ribosomal protein S18
OADMKDBD_00162	CDS	2376	lon	3.4.21.53	COG0466	Lon protease
OADMKDBD_00163	CDS	648	bamD			Outer membrane protein assembly factor BamD
OADMKDBD_00164	CDS	390	fliW		COG1699	Flagellar assembly factor FliW
OADMKDBD_00165	CDS	735	proC	1.5.1.2		Pyrroline-5-carboxylate reductase
OADMKDBD_00166	CDS	303				hypothetical protein
OADMKDBD_00167	CDS	339	atpH			ATP synthase subunit c
OADMKDBD_00168	tRNA	86				tRNA-Leu(gag)
OADMKDBD_00169	CDS	912				hypothetical protein
OADMKDBD_00170	CDS	3513	aas	6.2.1.20		Bifunctional protein Aas
OADMKDBD_00171	CDS	381				hypothetical protein
OADMKDBD_00172	tRNA	77				tRNA-Asp(gtc)
OADMKDBD_00173	CDS	111				hypothetical protein
OADMKDBD_00174	CDS	1005	futA1			Iron uptake protein A1
OADMKDBD_00175	CDS	1617				hypothetical protein
OADMKDBD_00176	CDS	906	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OADMKDBD_00177	CDS	1206		1.5.1.43		Carboxynorspermidine synthase
OADMKDBD_00178	CDS	363				hypothetical protein
OADMKDBD_00179	CDS	219				hypothetical protein
OADMKDBD_00180	CDS	663	sodB	1.15.1.1	COG0605	Superoxide dismutase [Fe]
OADMKDBD_00181	CDS	699	legF_2	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
OADMKDBD_00182	CDS	825	pseG	3.6.1.57	COG3980	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
OADMKDBD_00183	CDS	474	pseH	2.3.1.202	COG1670	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
OADMKDBD_00184	CDS	747	hisF_1	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
OADMKDBD_00185	CDS	606	hisH_1	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
OADMKDBD_00186	CDS	1137				hypothetical protein
OADMKDBD_00187	CDS	1032	pseI	2.5.1.97	COG2089	Pseudaminic acid synthase
OADMKDBD_00188	CDS	459				hypothetical protein
OADMKDBD_00189	CDS	786				hypothetical protein
OADMKDBD_00190	CDS	222				hypothetical protein
OADMKDBD_00191	CDS	909	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
OADMKDBD_00192	CDS	1563				hypothetical protein
OADMKDBD_00193	CDS	1062	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
OADMKDBD_00194	CDS	222				hypothetical protein
OADMKDBD_00195	CDS	972				hypothetical protein
OADMKDBD_00196	CDS	276				hypothetical protein
OADMKDBD_00197	CDS	426				Single-stranded DNA-binding protein
OADMKDBD_00198	CDS	567				hypothetical protein
OADMKDBD_00199	CDS	558				hypothetical protein
OADMKDBD_00200	CDS	2769	virB4			Type IV secretion system protein virB4
OADMKDBD_00201	CDS	264	virB2			Type IV secretion system protein virB2
OADMKDBD_00202	CDS	324				hypothetical protein
OADMKDBD_00203	CDS	378				hypothetical protein
OADMKDBD_00204	CDS	615				hypothetical protein
OADMKDBD_00205	CDS	192				hypothetical protein
OADMKDBD_00206	CDS	453				hypothetical protein
OADMKDBD_00207	CDS	1794				hypothetical protein
OADMKDBD_00208	CDS	219				hypothetical protein
OADMKDBD_00209	CDS	180				hypothetical protein
OADMKDBD_00210	CDS	1173	pknD	2.7.11.1		Serine/threonine-protein kinase PknD
OADMKDBD_00211	CDS	210				hypothetical protein
OADMKDBD_00212	CDS	111				hypothetical protein
OADMKDBD_00213	CDS	2754	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
OADMKDBD_00214	CDS	1089	cinA			Putative competence-damage inducible protein
OADMKDBD_00215	CDS	426				hypothetical protein
OADMKDBD_00216	CDS	144				hypothetical protein
OADMKDBD_00217	CDS	489		1.-.-.-		Putative NAD(P)H nitroreductase
OADMKDBD_00218	CDS	606		1.-.-.-		Putative NAD(P)H nitroreductase
OADMKDBD_00219	CDS	762	fieF		COG0053	Ferrous-iron efflux pump FieF
OADMKDBD_00220	CDS	873		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
OADMKDBD_00221	CDS	1347				hypothetical protein
OADMKDBD_00222	CDS	1344	recD2	3.6.4.12		ATP-dependent RecD-like DNA helicase
OADMKDBD_00223	CDS	735				hypothetical protein
OADMKDBD_00224	CDS	510	lolA			Outer-membrane lipoprotein carrier protein
OADMKDBD_00225	CDS	2589	secA		COG0653	Protein translocase subunit SecA
OADMKDBD_00226	CDS	1206	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
OADMKDBD_00227	CDS	786				hypothetical protein
OADMKDBD_00228	tRNA	76				tRNA-Lys(ttt)
OADMKDBD_00229	tRNA	76				tRNA-Val(tac)
OADMKDBD_00230	CDS	1098				hypothetical protein
OADMKDBD_00231	CDS	618				hypothetical protein
OADMKDBD_00232	CDS	306	ppk2	2.7.4.1	COG2326	Polyphosphate:NDP phosphotransferase 2
OADMKDBD_00233	CDS	1191	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
OADMKDBD_00234	CDS	1173	macA		COG0845	Macrolide export protein MacA
OADMKDBD_00235	CDS	1926	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
OADMKDBD_00236	CDS	1371	tdeA		COG1538	Toxin and drug export protein A
OADMKDBD_00237	CDS	1179				hypothetical protein
OADMKDBD_00238	CDS	1011				hypothetical protein
OADMKDBD_00239	CDS	1377				hypothetical protein
OADMKDBD_00240	CDS	504	ftn	1.16.3.2	COG1528	Bacterial non-heme ferritin
OADMKDBD_00241	CDS	996	sphX		COG0226	Protein SphX
OADMKDBD_00242	CDS	915	pstC1		COG0573	Phosphate transport system permease protein PstC 1
OADMKDBD_00243	CDS	1089				hypothetical protein
OADMKDBD_00244	CDS	741	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
OADMKDBD_00245	CDS	612				hypothetical protein
OADMKDBD_00246	CDS	1020	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
OADMKDBD_00247	CDS	879				hypothetical protein
OADMKDBD_00248	CDS	1269	sufS	4.4.1.16		Cysteine desulfurase
OADMKDBD_00249	CDS	825	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
OADMKDBD_00250	CDS	1119	cca	2.7.7.72		CCA-adding enzyme
OADMKDBD_00251	CDS	492				hypothetical protein
OADMKDBD_00252	CDS	246				hypothetical protein
OADMKDBD_00253	CDS	174				hypothetical protein
OADMKDBD_00254	CDS	339	napD			Chaperone NapD
OADMKDBD_00255	CDS	915				hypothetical protein
OADMKDBD_00256	CDS	522	napB			Periplasmic nitrate reductase, electron transfer subunit
OADMKDBD_00257	CDS	780	napH		COG0348	Ferredoxin-type protein NapH
OADMKDBD_00258	CDS	741	napG		COG1145	Ferredoxin-type protein NapG
OADMKDBD_00259	CDS	2775	napA_1	1.9.6.1		Periplasmic nitrate reductase
OADMKDBD_00260	CDS	528	tpx	1.11.1.15	COG2077	Thiol peroxidase
OADMKDBD_00261	CDS	741				hypothetical protein
OADMKDBD_00262	CDS	2031	uvrD	3.6.4.12	COG0210	DNA helicase II
OADMKDBD_00263	CDS	1023				hypothetical protein
OADMKDBD_00264	CDS	2613	valS	6.1.1.9	COG0525	Valine--tRNA ligase
OADMKDBD_00265	CDS	1011	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
OADMKDBD_00266	CDS	912				hypothetical protein
OADMKDBD_00267	CDS	774	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
OADMKDBD_00268	CDS	771	nlpA		COG1464	Lipoprotein 28
OADMKDBD_00269	CDS	777	metQ_2		COG1464	Methionine-binding lipoprotein MetQ
OADMKDBD_00270	CDS	915	gltA	2.3.3.16	COG0372	Citrate synthase
OADMKDBD_00271	CDS	765	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
OADMKDBD_00272	CDS	765				hypothetical protein
OADMKDBD_00273	CDS	777	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
OADMKDBD_00274	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
OADMKDBD_00275	CDS	861	mqnD	4.1.-.-	COG2107	1,4-dihydroxy-6-naphtoate synthase
OADMKDBD_00276	CDS	1032	recA		COG0468	Protein RecA
OADMKDBD_00277	CDS	1245	eno	4.2.1.11	COG0148	Enolase
OADMKDBD_00278	CDS	204				hypothetical protein
OADMKDBD_00279	CDS	663				hypothetical protein
OADMKDBD_00280	CDS	849	ligA_2	6.5.1.1		DNA ligase
OADMKDBD_00281	tRNA	78				tRNA-Pro(tgg)
OADMKDBD_00282	tRNA	77				tRNA-His(gtg)
OADMKDBD_00283	tRNA	77				tRNA-Arg(tcg)
OADMKDBD_00284	tRNA	77				tRNA-Arg(tct)
OADMKDBD_00285	tRNA	85				tRNA-Leu(tag)
OADMKDBD_00286	CDS	402				hypothetical protein
OADMKDBD_00287	CDS	438				hypothetical protein
OADMKDBD_00288	CDS	504				hypothetical protein
OADMKDBD_00289	CDS	489	resA_1		COG0526	Thiol-disulfide oxidoreductase ResA
OADMKDBD_00290	CDS	651	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
OADMKDBD_00291	CDS	1119				hypothetical protein
OADMKDBD_00292	CDS	1290				hypothetical protein
OADMKDBD_00293	CDS	1404				hypothetical protein
OADMKDBD_00294	CDS	540	tpd		COG3470	34 kDa membrane antigen
OADMKDBD_00295	CDS	2091				hypothetical protein
OADMKDBD_00296	CDS	204				hypothetical protein
OADMKDBD_00297	CDS	183				hypothetical protein
OADMKDBD_00298	CDS	1149	nhaA_1		COG3004	Na(+)/H(+) antiporter NhaA
OADMKDBD_00299	CDS	1170	nhaA_2		COG3004	Na(+)/H(+) antiporter NhaA
OADMKDBD_00300	CDS	459	mepS	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
OADMKDBD_00301	CDS	744	murI	5.1.1.3	COG0796	Glutamate racemase
OADMKDBD_00302	CDS	759	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
OADMKDBD_00303	CDS	501				hypothetical protein
OADMKDBD_00304	CDS	600				hypothetical protein
OADMKDBD_00305	CDS	534				hypothetical protein
OADMKDBD_00306	CDS	999	nqo8	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit 8
OADMKDBD_00307	CDS	642	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
OADMKDBD_00308	CDS	519	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
OADMKDBD_00309	CDS	297	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
OADMKDBD_00310	CDS	1791		7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit 12
OADMKDBD_00311	CDS	318				hypothetical protein
OADMKDBD_00312	CDS	1869	rpoD		COG0568	RNA polymerase sigma factor RpoD
OADMKDBD_00313	CDS	513				hypothetical protein
OADMKDBD_00314	CDS	519				hypothetical protein
OADMKDBD_00315	CDS	417				hypothetical protein
OADMKDBD_00316	CDS	1617	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
OADMKDBD_00317	CDS	1251	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
OADMKDBD_00318	CDS	1572				hypothetical protein
OADMKDBD_00319	CDS	1056	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
OADMKDBD_00320	CDS	1401				hypothetical protein
OADMKDBD_00321	CDS	1122	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
OADMKDBD_00322	CDS	768				hypothetical protein
OADMKDBD_00323	tRNA	77				tRNA-Arg(gcg)
OADMKDBD_00324	CDS	108				hypothetical protein
OADMKDBD_00325	CDS	351				hypothetical protein
OADMKDBD_00326	CDS	600	xerH_1			Tyrosine recombinase XerH
OADMKDBD_00327	CDS	261				hypothetical protein
OADMKDBD_00328	CDS	231				hypothetical protein
OADMKDBD_00329	CDS	195				hypothetical protein
OADMKDBD_00330	CDS	117				hypothetical protein
OADMKDBD_00331	CDS	144				hypothetical protein
OADMKDBD_00332	CDS	132				hypothetical protein
OADMKDBD_00333	CDS	219				hypothetical protein
OADMKDBD_00334	CDS	150				hypothetical protein
OADMKDBD_00335	CDS	228				hypothetical protein
OADMKDBD_00336	CDS	171				hypothetical protein
OADMKDBD_00337	CDS	522				hypothetical protein
OADMKDBD_00338	CDS	405				hypothetical protein
OADMKDBD_00339	CDS	1533				hypothetical protein
OADMKDBD_00340	CDS	465				hypothetical protein
OADMKDBD_00341	CDS	1755	ccsA			Cytochrome c biogenesis protein CcsA
OADMKDBD_00342	CDS	840	uxaA_1	4.2.1.7	COG2721	Altronate dehydratase
OADMKDBD_00343	CDS	1287	rhmT			Inner membrane transport protein RhmT
OADMKDBD_00344	CDS	789	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
OADMKDBD_00345	CDS	1257	fucP		COG0738	L-fucose-proton symporter
OADMKDBD_00346	CDS	771				hypothetical protein
OADMKDBD_00347	CDS	318	rhaM	5.1.3.32		L-rhamnose mutarotase
OADMKDBD_00348	CDS	1440	aldA	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
OADMKDBD_00349	CDS	387	rpsL		COG0048	30S ribosomal protein S12
OADMKDBD_00350	CDS	471	rpsG		COG0049	30S ribosomal protein S7
OADMKDBD_00351	CDS	2076	fusA		COG0480	Elongation factor G
OADMKDBD_00352	tRNA	77				tRNA-Arg(cct)
OADMKDBD_00353	CDS	150				hypothetical protein
OADMKDBD_00354	CDS	702	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
OADMKDBD_00355	CDS	375				hypothetical protein
OADMKDBD_00356	CDS	1278				hypothetical protein
OADMKDBD_00357	CDS	777	trpC_1	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
OADMKDBD_00358	CDS	486		2.7.7.53	COG0537	AP-4-A phosphorylase
OADMKDBD_00359	CDS	999	selU	2.5.1.-		tRNA 2-selenouridine synthase
OADMKDBD_00360	CDS	294	amt			Ammonia channel
OADMKDBD_00361	CDS	474	amtB			Ammonia channel
OADMKDBD_00362	CDS	912	hemH	4.99.1.1	COG0276	Ferrochelatase
OADMKDBD_00363	CDS	837	iolG	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
OADMKDBD_00364	CDS	1074	wbpE	2.6.1.98	COG0399	UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
OADMKDBD_00365	CDS	2529	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
OADMKDBD_00366	CDS	552	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
OADMKDBD_00367	CDS	1932	pbpF		COG0744	Penicillin-binding protein 1F
OADMKDBD_00368	CDS	2574	clpB			Chaperone protein ClpB
OADMKDBD_00369	CDS	291	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
OADMKDBD_00370	CDS	1320	ctpB	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpB
OADMKDBD_00371	CDS	711	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
OADMKDBD_00372	CDS	246	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
OADMKDBD_00373	CDS	648	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
OADMKDBD_00374	CDS	1197				hypothetical protein
OADMKDBD_00375	CDS	693				hypothetical protein
OADMKDBD_00376	CDS	369	crcB		COG0239	Putative fluoride ion transporter CrcB
OADMKDBD_00377	CDS	1827	htpG		COG0326	Chaperone protein HtpG
OADMKDBD_00378	CDS	318				hypothetical protein
OADMKDBD_00379	CDS	1782				hypothetical protein
