locus_tag	ftype	length_bp	gene	EC_number	COG	product
HBIEEPJE_00277	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
HBIEEPJE_00278	CDS	861				hypothetical protein
HBIEEPJE_00279	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
HBIEEPJE_00280	CDS	1035				hypothetical protein
HBIEEPJE_00281	CDS	918	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
HBIEEPJE_00282	CDS	249				hypothetical protein
HBIEEPJE_00283	CDS	384	vapC_1	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
HBIEEPJE_00284	CDS	930	fdhE		COG3058	Protein FdhE
HBIEEPJE_00285	CDS	636	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
HBIEEPJE_00286	CDS	903	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
HBIEEPJE_00287	CDS	2415	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
HBIEEPJE_00288	CDS	588	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
HBIEEPJE_00289	CDS	837	fdhD		COG1526	Sulfur carrier protein FdhD
HBIEEPJE_00290	CDS	213				hypothetical protein
HBIEEPJE_00291	CDS	324				hypothetical protein
HBIEEPJE_00292	CDS	702				hypothetical protein
HBIEEPJE_00293	CDS	549	sutR_1		COG1396	HTH-type transcriptional regulator SutR
HBIEEPJE_00294	CDS	996	rafR			HTH-type transcriptional regulator RafR
HBIEEPJE_00295	CDS	2124	rafA	3.2.1.22		Alpha-galactosidase
HBIEEPJE_00296	CDS	1251	melY			Melibiose permease
HBIEEPJE_00297	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
HBIEEPJE_00298	CDS	1149	adhB	1.1.1.1		Alcohol dehydrogenase 2
HBIEEPJE_00299	CDS	1005	lsrD_2			Autoinducer 2 import system permease protein LsrD
HBIEEPJE_00300	CDS	1008	rbsC_1		COG1172	Ribose import permease protein RbsC
HBIEEPJE_00301	CDS	1512	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
HBIEEPJE_00302	CDS	987	lsrB_2			Autoinducer 2-binding protein LsrB
HBIEEPJE_00303	CDS	831	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
HBIEEPJE_00304	CDS	1260	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
HBIEEPJE_00305	CDS	204	rhaB	2.7.1.5		Rhamnulokinase
HBIEEPJE_00306	CDS	2223				hypothetical protein
HBIEEPJE_00307	CDS	810				hypothetical protein
HBIEEPJE_00308	CDS	375				IS256 family transposase ISSod4
HBIEEPJE_00309	CDS	639				hypothetical protein
HBIEEPJE_00310	CDS	1680	xynB	3.2.1.37		Beta-xylosidase
HBIEEPJE_00311	CDS	1455	uidB		COG2211	Glucuronide carrier protein
HBIEEPJE_00312	CDS	1320	xylA_1	5.3.1.5		Xylose isomerase
HBIEEPJE_00313	CDS	984				hypothetical protein
HBIEEPJE_00314	CDS	1797				Tn3 family transposase TnAs1
HBIEEPJE_00315	CDS	885				hypothetical protein
HBIEEPJE_00316	CDS	1200	tetA			Tetracycline resistance protein, class C
HBIEEPJE_00317	CDS	678	tetR			Tetracycline repressor protein class A from transposon 1721
HBIEEPJE_00318	CDS	243				hypothetical protein
HBIEEPJE_00319	CDS	1737				Tn3 family transposase TnAs1
HBIEEPJE_00320	CDS	2967				Tn3 family transposase TnAs1
HBIEEPJE_00321	CDS	561	hin_1		COG1961	DNA-invertase hin
HBIEEPJE_00322	CDS	351				hypothetical protein
HBIEEPJE_00323	CDS	441				hypothetical protein
HBIEEPJE_00324	CDS	993				hypothetical protein
HBIEEPJE_00325	CDS	501				hypothetical protein
HBIEEPJE_00326	CDS	840	folP_1	2.5.1.15	COG0294	Dihydropteroate synthase
HBIEEPJE_00327	CDS	348	emrE		COG2076	Multidrug transporter EmrE
HBIEEPJE_00328	CDS	780	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase
HBIEEPJE_00329	CDS	498				IS1595 family transposase ISSsu9
